id,category,severity,title,latitude,longitude,occurred_at,source
INC-0041,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Market Cross 93,37.793818,-122.410806,2026-08-10T04:58:19.475455Z,PUBLIC_SAFETY_LOG
INC-0042,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Shadow Alley 30,37.763917,-122.396605,2026-07-27T01:52:54.074638Z,POLICE_ARCHIVE
INC-0043,HARASSMENT,MEDIUM,Harassment near Market Cross 60,37.780555,-122.393245,2026-07-30T17:22:33.649064Z,PUBLIC_SAFETY_LOG
INC-0044,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Pine Green Way 33,37.770545,-122.43451,2026-05-03T19:24:39.042928Z,PUBLIC_SAFETY_LOG
INC-0045,HARASSMENT,HIGH,Harassment near Grand Blvd Sec 37,37.769901,-122.419733,2026-07-23T07:28:34.790093Z,POLICE_ARCHIVE
INC-0046,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Market Cross 45,37.775242,-122.399383,2026-08-02T10:16:25.589198Z,PUBLIC_SAFETY_LOG
INC-0047,THEFT,HIGH,Theft near Pine Green Way 4,37.757715,-122.425895,2026-08-05T03:45:52.801142Z,POLICE_ARCHIVE
INC-0048,THEFT,MEDIUM,Theft near Pine Green Way 61,37.781321,-122.430068,2026-07-28T19:31:52.340335Z,PUBLIC_SAFETY_LOG
INC-0049,VANDALISM,HIGH,Vandalism near Pine Green Way 33,37.770402,-122.433105,2026-07-14T13:39:31.049411Z,POLICE_ARCHIVE
INC-0050,THEFT,HIGH,Theft near Industrial Way Sec 31,37.766312,-122.400178,2026-06-18T21:41:10.344644Z,POLICE_ARCHIVE
INC-0051,THEFT,HIGH,Theft near Pine Green Way 77,37.790968,-122.434882,2026-07-01T13:26:51.575491Z,POLICE_ARCHIVE
INC-0052,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Industrial Way Sec 31,37.767943,-122.399974,2026-07-22T13:17:42.546266Z,PUBLIC_SAFETY_LOG
INC-0053,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Pine Green Way 50,37.775175,-122.422296,2026-08-02T00:21:02.191931Z,PUBLIC_SAFETY_LOG
INC-0054,THEFT,HIGH,Theft near Market Cross 45,37.771859,-122.399896,2026-07-17T08:40:21.165862Z,POLICE_ARCHIVE
INC-0055,TRAFFIC_ACCIDENT,MEDIUM,Traffic Accident near Grand Blvd Sec 70,37.782273,-122.404459,2026-07-05T13:27:30.081800Z,PUBLIC_SAFETY_LOG
INC-0056,HARASSMENT,MEDIUM,Harassment near Pine Green Way 18,37.764749,-122.434939,2026-08-07T16:40:35.996516Z,PUBLIC_SAFETY_LOG
INC-0057,VANDALISM,MEDIUM,Vandalism near Grand Blvd Sec 41,37.770581,-122.400143,2026-07-21T00:07:11.739995Z,PUBLIC_SAFETY_LOG
INC-0058,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Grand Blvd Sec 37,37.77008,-122.417838,2026-08-05T08:53:47.647959Z,PUBLIC_SAFETY_LOG
INC-0059,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Central Ave Sec 52,37.776155,-122.416094,2026-03-28T10:42:47.818651Z,POLICE_ARCHIVE
INC-0060,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Grand Blvd Sec 67,37.784074,-122.42091,2026-07-29T21:44:34.138241Z,PUBLIC_SAFETY_LOG
INC-0061,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Industrial Way Sec 14,37.758189,-122.40009,2026-07-15T04:50:54.153290Z,POLICE_ARCHIVE
INC-0062,TRAFFIC_ACCIDENT,LOW,Traffic Accident near Market Cross 45,37.772927,-122.399455,2026-07-13T22:43:19.990259Z,PUBLIC_SAFETY_LOG
INC-0063,HARASSMENT,HIGH,Harassment near Market Cross 10,37.762524,-122.413999,2026-06-27T00:29:57.005709Z,POLICE_ARCHIVE
INC-0064,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Pine Green Way 5,37.758281,-122.428311,2026-08-02T22:15:59.411856Z,PUBLIC_SAFETY_LOG
INC-0065,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Market Cross 87,37.788063,-122.396795,2026-08-18T06:36:53.693701Z,PUBLIC_SAFETY_LOG
INC-0066,PHYSICAL_ASSAULT,HIGH,Physical Assault near Grand Blvd Sec 41,37.77046,-122.402461,2026-06-28T19:03:51.962227Z,POLICE_ARCHIVE
INC-0067,PHYSICAL_ASSAULT,HIGH,Physical Assault near Pine Green Way 34,37.774519,-122.435338,2026-07-13T20:25:26.336021Z,POLICE_ARCHIVE
INC-0068,TRAFFIC_ACCIDENT,HIGH,Traffic Accident near Industrial Way Sec 16,37.757901,-122.393635,2026-07-02T13:32:11.562185Z,POLICE_ARCHIVE
INC-0069,TRAFFIC_ACCIDENT,MEDIUM,Traffic Accident near Market Cross 86,37.789422,-122.404882,2026-05-24T15:32:23.882865Z,PUBLIC_SAFETY_LOG
INC-0070,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Market Cross 47,37.773182,-122.393388,2026-08-15T01:24:46.895556Z,PUBLIC_SAFETY_LOG
INC-0071,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Market Cross 60,37.780652,-122.39322,2026-08-17T15:59:45.679298Z,POLICE_ARCHIVE
INC-0072,THEFT,HIGH,Theft near Grand Blvd Sec 68,37.782243,-122.410739,2026-08-15T20:44:04.909293Z,POLICE_ARCHIVE
INC-0073,HARASSMENT,MEDIUM,Harassment near Market Cross 60,37.779893,-122.393046,2026-06-21T04:38:22.052707Z,PUBLIC_SAFETY_LOG
INC-0074,HARASSMENT,HIGH,Harassment near Central Ave Sec 56,37.775857,-122.403227,2026-07-23T01:58:40.570457Z,POLICE_ARCHIVE
INC-0075,HARASSMENT,HIGH,Harassment near Pine Green Way 91,37.794648,-122.426566,2026-08-08T04:55:23.560082Z,POLICE_ARCHIVE
INC-0076,HARASSMENT,MEDIUM,Harassment near Pine Green Way 17,37.763856,-122.430671,2026-07-10T21:55:41.302305Z,PUBLIC_SAFETY_LOG
INC-0077,VANDALISM,LOW,Vandalism near Market Cross 85,37.792058,-122.407295,2026-05-10T13:02:46.691933Z,PUBLIC_SAFETY_LOG
INC-0078,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Market Cross 11,37.757917,-122.407369,2026-07-09T18:35:59.306774Z,PUBLIC_SAFETY_LOG
INC-0079,VANDALISM,CRITICAL,Vandalism near Pine Green Way 64,37.787828,-122.428228,2026-08-06T22:49:57.302929Z,POLICE_ARCHIVE
INC-0080,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Grand Blvd Sec 39,37.770208,-122.41083,2026-07-30T14:01:53.601093Z,PUBLIC_SAFETY_LOG
INC-0081,VANDALISM,HIGH,Vandalism near Grand Blvd Sec 41,37.770499,-122.400642,2026-08-04T05:05:41.714029Z,POLICE_ARCHIVE
INC-0082,THEFT,MEDIUM,Theft near Central Ave Sec 66,37.782322,-122.416818,2026-08-08T22:00:49.041649Z,PUBLIC_SAFETY_LOG
INC-0083,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Central Ave Sec 38,37.775218,-122.421327,2026-04-11T21:15:09.632854Z,PUBLIC_SAFETY_LOG
INC-0084,THEFT,MEDIUM,Theft near Market Cross 25,37.768546,-122.413855,2026-07-24T15:24:25.964037Z,PUBLIC_SAFETY_LOG
INC-0085,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Pine Green Way 51,37.778615,-122.428423,2026-08-04T04:49:47.234940Z,POLICE_ARCHIVE
INC-0086,VANDALISM,CRITICAL,Vandalism near Grand Blvd Sec 37,37.770061,-122.416875,2026-05-27T01:16:50.807449Z,POLICE_ARCHIVE
INC-0087,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Market Cross 47,37.770415,-122.393661,2026-08-03T06:40:16.781105Z,POLICE_ARCHIVE
INC-0088,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Central Ave Sec 71,37.784164,-122.406723,2026-08-16T11:07:34.506070Z,PUBLIC_SAFETY_LOG
INC-0089,THEFT,MEDIUM,Theft near Central Ave Sec 72,37.787861,-122.400877,2026-07-23T12:50:06.539195Z,PUBLIC_SAFETY_LOG
INC-0090,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Pine Green Way 18,37.768869,-122.434853,2026-08-14T13:00:39.370984Z,PUBLIC_SAFETY_LOG
INC-0091,SUSPICIOUS_ACTIVITY,MEDIUM,Suspicious Activity near Pine Green Way 21,37.766326,-122.427632,2026-07-15T22:23:17.638919Z,PUBLIC_SAFETY_LOG
INC-0092,SUSPICIOUS_ACTIVITY,MEDIUM,Suspicious Activity near Pine Green Way 91,37.793969,-122.424654,2026-08-05T10:17:49.864698Z,PUBLIC_SAFETY_LOG
INC-0093,VANDALISM,MEDIUM,Vandalism near Market Cross 93,37.794379,-122.407939,2026-08-08T10:52:15.504175Z,PUBLIC_SAFETY_LOG
INC-0094,VANDALISM,MEDIUM,Vandalism near Market Cross 93,37.793424,-122.413444,2026-07-01T01:42:20.473312Z,PUBLIC_SAFETY_LOG
INC-0095,PHYSICAL_ASSAULT,HIGH,Physical Assault near Pine Green Way 5,37.761106,-122.428231,2026-07-28T20:24:32.232443Z,POLICE_ARCHIVE
INC-0096,TRAFFIC_ACCIDENT,MEDIUM,Traffic Accident near Grand Blvd Sec 53,37.779131,-122.421076,2026-06-06T06:00:46.855942Z,PUBLIC_SAFETY_LOG
INC-0097,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Grand Blvd Sec 67,37.783846,-122.420792,2026-07-22T10:09:20.660427Z,POLICE_ARCHIVE
INC-0098,SUSPICIOUS_ACTIVITY,MEDIUM,Suspicious Activity near Grand Blvd Sec 70,37.782309,-122.404412,2026-07-10T12:02:59.365559Z,PUBLIC_SAFETY_LOG
INC-0099,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Market Cross 25,37.76949,-122.413987,2026-04-29T17:12:28.331353Z,PUBLIC_SAFETY_LOG
INC-0100,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Market Cross 89,37.792756,-122.39284,2026-05-04T03:39:18.844750Z,PUBLIC_SAFETY_LOG
INC-0101,THEFT,HIGH,Theft near Market Cross 74,37.785938,-122.400307,2026-06-14T06:04:30.168711Z,POLICE_ARCHIVE
INC-0102,VANDALISM,HIGH,Vandalism near Pine Green Way 92,37.793517,-122.421036,2026-06-27T09:05:25.139767Z,POLICE_ARCHIVE
INC-0103,TRAFFIC_ACCIDENT,MEDIUM,Traffic Accident near Central Ave Sec 72,37.786267,-122.402211,2026-07-17T00:22:31.080487Z,PUBLIC_SAFETY_LOG
INC-0104,HARASSMENT,MEDIUM,Harassment near Market Cross 82,37.788261,-122.412583,2026-07-26T04:18:10.085305Z,PUBLIC_SAFETY_LOG
INC-0105,TRAFFIC_ACCIDENT,MEDIUM,Traffic Accident near Central Ave Sec 71,37.787375,-122.407326,2026-05-27T23:49:12.304720Z,PUBLIC_SAFETY_LOG
INC-0106,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Grand Blvd Sec 37,37.770035,-122.418048,2026-08-17T03:45:50.101789Z,PUBLIC_SAFETY_LOG
INC-0107,PHYSICAL_ASSAULT,HIGH,Physical Assault near Pine Green Way 23,37.766955,-122.42097,2026-08-19T15:35:51.014453Z,POLICE_ARCHIVE
INC-0108,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Central Ave Sec 38,37.774512,-122.421191,2026-08-16T16:42:05.419620Z,POLICE_ARCHIVE
INC-0109,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Pine Green Way 18,37.769602,-122.434971,2026-08-16T15:28:06.398385Z,POLICE_ARCHIVE
INC-0110,SUSPICIOUS_ACTIVITY,MEDIUM,Suspicious Activity near Pine Green Way 92,37.793446,-122.420132,2026-07-18T20:30:46.706246Z,PUBLIC_SAFETY_LOG
INC-0111,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Grand Blvd Sec 55,37.779079,-122.413885,2026-08-13T07:20:23.905459Z,PUBLIC_SAFETY_LOG
INC-0112,TRAFFIC_ACCIDENT,LOW,Traffic Accident near Pine Green Way 1,37.757965,-122.43375,2026-04-20T01:40:25.529970Z,PUBLIC_SAFETY_LOG
INC-0113,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Pine Green Way 34,37.773907,-122.435338,2026-08-16T06:00:52.692620Z,POLICE_ARCHIVE
INC-0114,PHYSICAL_ASSAULT,HIGH,Physical Assault near Market Cross 89,37.789084,-122.392515,2026-07-14T05:26:07.635496Z,POLICE_ARCHIVE
INC-0115,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Market Cross 59,37.78011,-122.400417,2026-07-20T03:13:51.719311Z,PUBLIC_SAFETY_LOG
INC-0116,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Industrial Way Sec 32,37.768135,-122.393586,2026-07-22T03:31:45.767026Z,PUBLIC_SAFETY_LOG
INC-0117,HARASSMENT,HIGH,Harassment near Market Cross 73,37.781713,-122.39976,2026-08-11T22:00:26.359161Z,POLICE_ARCHIVE
INC-0118,VANDALISM,LOW,Vandalism near Grand Blvd Sec 67,37.78527,-122.420862,2026-07-25T03:17:34.699954Z,PUBLIC_SAFETY_LOG
INC-0119,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Market Cross 59,37.776377,-122.399467,2026-07-19T00:35:46.117540Z,PUBLIC_SAFETY_LOG
INC-0120,TRAFFIC_ACCIDENT,LOW,Traffic Accident near Pine Green Way 51,37.77669,-122.428481,2026-08-18T01:47:59.539317Z,PUBLIC_SAFETY_LOG
INC-0121,PHYSICAL_ASSAULT,HIGH,Physical Assault near Grand Blvd Sec 70,37.781746,-122.400955,2026-05-05T00:32:57.306150Z,POLICE_ARCHIVE
INC-0122,VANDALISM,CRITICAL,Vandalism near Pine Green Way 18,37.769268,-122.434798,2026-07-30T07:57:45.891805Z,POLICE_ARCHIVE
INC-0123,HARASSMENT,HIGH,Harassment near Pine Green Way 49,37.776225,-122.435131,2026-08-15T11:51:13.432757Z,POLICE_ARCHIVE
INC-0124,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Grand Blvd Sec 68,37.782341,-122.412661,2026-06-25T19:36:49.327244Z,POLICE_ARCHIVE
INC-0125,TRAFFIC_ACCIDENT,LOW,Traffic Accident near Grand Blvd Sec 69,37.784476,-122.413857,2026-08-14T15:09:49.034944Z,PUBLIC_SAFETY_LOG
INC-0126,HARASSMENT,MEDIUM,Harassment near Pine Green Way 5,37.762394,-122.427862,2026-05-27T13:43:49.190692Z,PUBLIC_SAFETY_LOG
INC-0127,THEFT,HIGH,Theft near Shadow Alley 13,37.757346,-122.396056,2026-05-31T01:05:34.643387Z,POLICE_ARCHIVE
INC-0128,HARASSMENT,HIGH,Harassment near Central Ave Sec 57,37.777262,-122.407107,2026-08-18T15:53:28.123676Z,POLICE_ARCHIVE
INC-0129,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Market Cross 74,37.785541,-122.4006,2026-08-07T02:26:09.467825Z,PUBLIC_SAFETY_LOG
INC-0130,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Grand Blvd Sec 53,37.777416,-122.421002,2026-05-28T17:07:59.691549Z,POLICE_ARCHIVE
INC-0131,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Central Ave Sec 72,37.785488,-122.403319,2026-07-07T11:24:13.736533Z,POLICE_ARCHIVE
INC-0132,VANDALISM,MEDIUM,Vandalism near Grand Blvd Sec 53,37.77642,-122.421167,2026-07-26T16:46:19.156269Z,PUBLIC_SAFETY_LOG
INC-0133,HARASSMENT,HIGH,Harassment near Market Cross 60,37.781263,-122.393138,2026-07-19T21:19:37.394248Z,POLICE_ARCHIVE
INC-0134,VANDALISM,MEDIUM,Vandalism near Market Cross 27,37.763902,-122.405164,2026-08-02T09:00:09.909433Z,PUBLIC_SAFETY_LOG
INC-0135,VANDALISM,MEDIUM,Vandalism near Pine Green Way 7,37.758515,-122.41905,2026-05-30T15:23:22.999840Z,PUBLIC_SAFETY_LOG
INC-0136,HARASSMENT,MEDIUM,Harassment near Pine Green Way 62,37.782903,-122.434641,2026-05-17T12:01:30.307887Z,PUBLIC_SAFETY_LOG
INC-0137,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Pine Green Way 62,37.787097,-122.434239,2026-08-01T03:21:52.076181Z,PUBLIC_SAFETY_LOG
INC-0138,THEFT,HIGH,Theft near Pine Green Way 49,37.778379,-122.435086,2026-08-03T04:34:50.643440Z,POLICE_ARCHIVE
INC-0139,HARASSMENT,MEDIUM,Harassment near Grand Blvd Sec 41,37.770523,-122.400505,2026-07-19T06:31:03.852552Z,PUBLIC_SAFETY_LOG
INC-0140,HARASSMENT,HIGH,Harassment near Pine Green Way 34,37.773361,-122.435024,2026-08-07T09:46:46.955711Z,POLICE_ARCHIVE
INC-0141,VANDALISM,CRITICAL,Vandalism near Market Cross 73,37.781681,-122.394539,2026-07-06T02:39:31.607543Z,POLICE_ARCHIVE
INC-0142,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Market Cross 93,37.794072,-122.409648,2026-06-19T01:35:33.351091Z,POLICE_ARCHIVE
INC-0143,VANDALISM,LOW,Vandalism near Market Cross 24,37.763823,-122.408004,2026-08-19T03:58:37.537111Z,PUBLIC_SAFETY_LOG
INC-0144,HARASSMENT,MEDIUM,Harassment near Market Cross 86,37.787702,-122.4072,2026-07-12T16:54:44.490220Z,PUBLIC_SAFETY_LOG
INC-0145,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Market Cross 28,37.767124,-122.407129,2026-07-07T21:04:43.113562Z,POLICE_ARCHIVE
INC-0146,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Pine Green Way 3,37.758279,-122.435903,2026-07-22T03:46:01.792148Z,PUBLIC_SAFETY_LOG
INC-0147,THEFT,MEDIUM,Theft near Pine Green Way 65,37.78705,-122.422357,2026-05-17T06:47:12.122909Z,PUBLIC_SAFETY_LOG
INC-0148,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Industrial Way Sec 31,37.765864,-122.400061,2026-08-08T17:16:22.210796Z,PUBLIC_SAFETY_LOG
INC-0149,VANDALISM,LOW,Vandalism near Market Cross 59,37.779179,-122.400229,2026-07-06T11:13:27.910193Z,PUBLIC_SAFETY_LOG
INC-0150,THEFT,HIGH,Theft near Market Cross 12,37.760205,-122.40768,2026-07-11T05:38:51.946267Z,POLICE_ARCHIVE
INC-0151,THEFT,MEDIUM,Theft near Central Ave Sec 56,37.775618,-122.402009,2026-03-28T05:13:35.855453Z,PUBLIC_SAFETY_LOG
INC-0152,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Market Cross 28,37.769934,-122.406857,2026-08-08T21:41:11.863868Z,PUBLIC_SAFETY_LOG
INC-0153,PHYSICAL_ASSAULT,HIGH,Physical Assault near Pine Green Way 23,37.769587,-122.420169,2026-07-16T08:04:50.843363Z,POLICE_ARCHIVE
INC-0154,PHYSICAL_ASSAULT,HIGH,Physical Assault near Grand Blvd Sec 39,37.769819,-122.412628,2026-08-01T05:25:07.254596Z,POLICE_ARCHIVE
INC-0155,VANDALISM,LOW,Vandalism near Market Cross 89,37.792957,-122.392601,2026-08-18T21:44:57.254586Z,PUBLIC_SAFETY_LOG
INC-0156,TRAFFIC_ACCIDENT,HIGH,Traffic Accident near Market Cross 44,37.770472,-122.396116,2026-04-04T09:35:26.472118Z,POLICE_ARCHIVE
INC-0157,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Market Cross 58,37.775869,-122.395948,2026-07-29T03:35:54.767138Z,POLICE_ARCHIVE
INC-0158,PHYSICAL_ASSAULT,HIGH,Physical Assault near Market Cross 11,37.757542,-122.401861,2026-08-18T06:31:20.106208Z,POLICE_ARCHIVE
INC-0159,VANDALISM,HIGH,Vandalism near Market Cross 95,37.793827,-122.397533,2026-04-28T12:08:13.915403Z,POLICE_ARCHIVE
INC-0160,THEFT,MEDIUM,Theft near Industrial Way Sec 14,37.758376,-122.400048,2026-07-19T18:08:01.456410Z,PUBLIC_SAFETY_LOG
INC-0161,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Market Cross 46,37.773753,-122.395855,2026-06-02T22:21:27.583722Z,POLICE_ARCHIVE
INC-0162,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Market Cross 11,37.757663,-122.40193,2026-08-09T20:52:12.794574Z,POLICE_ARCHIVE
INC-0163,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Pine Green Way 22,37.764415,-122.420667,2026-08-18T11:56:26.030295Z,POLICE_ARCHIVE
INC-0164,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Pine Green Way 62,37.786164,-122.434188,2026-06-30T23:11:51.281437Z,PUBLIC_SAFETY_LOG
